"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Shelby County","AL","5.9","206655","195085","6","24.4","13","51.2","84","12.1","0.4","2.2","0","1.3","6","78.5","13991","6","83498","79","193000","74144","2.64","-1","-1","91.2","40.3","-1","-1","-1","-1","68770","-1","-1","-1","-1","-1","-1","-1","-1","-1","248.5","547.3"
"St. Clair County","AL","3.7","86697","83593","6.1","23","15.3","50.1","87.9","9.5","0.4","0.8","0.1","1.3","2.3","85.9","6928","1.8","35844","81.5","134600","31353","2.63","-1","-1","82","15.5","-1","-1","-1","-1","50786","-1","-1","-1","-1","-1","-1","-1","-1","-1","132.3","503.6"
"Sumter County","AL","-4.3","13166","13763","4.8","19.7","16.3","55","25.5","73.5","0.1","0.4","0","0.5","1.1","24.8","706","0.9","6748","64.7","74100","5060","2.57","-1","-1","75.5","14.9","-1","-1","-1","-1","22186","-1","-1","-1","-1","-1","-1","-1","-1","-1","15.2","339.38"
"Talladega County","AL","-1.2","81322","82291","5.5","22.3","16.1","51.4","65.2","32.5","0.4","0.4","0","1.5","2.3","63.4","6691","1.6","37177","71.2","92600","31486","2.5","-1","-1","78.9","13","-1","-1","-1","-1","35439","-1","-1","-1","-1","-1","-1","-1","-1","-1","111.7","975.52"
"Tallapoosa County","AL","-1.1","41165","41616","5.8","21.1","19.6","51.4","70.6","27.3","0.4","0.5","0","1.2","2.3","68.9","3631","1.9","22029","72.2","94900","16373","2.49","-1","-1","79.2","16.3","-1","-1","-1","-1","39130","-1","-1","-1","-1","-1","-1","-1","-1","-1","58.1","734.98"
"Tuscaloosa County","AL","3.9","202212","194656","6","21.1","11.7","51.7","66","31","0.3","1.5","0.1","1.1","3.3","63.2","12198","3.5","87795","64.4","153300","67882","2.76","-1","-1","86.6","27","-1","-1","-1","-1","45408","-1","-1","-1","-1","-1","-1","-1","-1","-1","147.3","692.24"
"Walker County","AL","-2.3","65471","67023","5.8","22.1","18.2","51.4","91.3","6.4","0.5","0.4","0.1","1.3","2.3","89.4","5353","1.2","30669","75","82100","25751","2.55","-1","-1","76.4","10.5","-1","-1","-1","-1","37566","-1","-1","-1","-1","-1","-1","-1","-1","-1","84.7","442.96"
"Washington County","AL","-4.3","16834","17581","4.9","22.5","17","51.2","66","24.6","7.9","0.1","0.1","1.3","1.4","65.1","1025","0.9","8377","86.5","83900","6620","2.59","-1","-1","80.5","9.5","-1","-1","-1","-1","42156","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.3","401.39"
"Wilcox County","AL","-4.9","11098","11670","5.7","24.8","17.7","52.4","28.1","71","0.2","0.1","0","0.6","1","27.6","462","0.1","5615","74.5","67000","3866","2.9","-1","-1","76.1","11.1","-1","-1","-1","-1","23642","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.1","967"
"Winston County","AL","-1.4","24150","24484","5","20.9","20","50.9","96.3","1","0.9","0.3","0.2","1.4","2.9","94","1721","1.1","13406","74.9","82500","9489","2.52","-1","-1","72.7","10.4","-1","-1","-1","-1","32900","-1","-1","-1","-1","-1","-1","-1","-1","-1","39.9","646.51"
"Arkansas County","AR","-2.2","18594","19019","6.8","23","17.5","51.6","72.6","24.5","0.4","1","0","1.5","3","70.2","1389","2.2","9441","67.5","75500","7883","2.36","-1","-1","84.1","12.4","-1","-1","-1","-1","39633","-1","-1","-1","-1","-1","-1","-1","-1","-1","19.2","594.44"
"Ashley County","AR","-4.1","20948","21853","6.5","23.6","18.4","51.8","71.9","25.6","0.8","0.3","0.1","1.4","5.2","67.7","1370","2.1","10106","75.6","62500","8656","2.47","-1","-1","84.2","12.2","-1","-1","-1","-1","35683","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.6","832.43"
"Baxter County","AR","-1.6","40857","41513","4.4","17.8","30","51.8","96.8","0.4","0.7","0.6","0","1.5","2","95.2","5725","1.9","22633","76.5","120000","18155","2.24","-1","-1","87.6","16.5","-1","-1","-1","-1","35343","-1","-1","-1","-1","-1","-1","-1","-1","-1","74.9","2554.97"
"Benton County","AR","9.5","242321","221339","7.2","27","13","50.5","90","1.9","1.9","3.4","0.4","2.3","16.2","74.9","16452","10.9","97542","68.6","147500","82150","2.74","-1","-1","85.8","28.7","-1","-1","-1","-1","54515","-1","-1","-1","-1","-1","-1","-1","-1","-1","261.2","258.58"
"Boone County","AR","0.8","37196","36903","6","22.6","19.8","50.8","96.3","0.4","0.8","0.6","0.1","1.8","2.3","94.3","3280","1.3","16904","72.6","106400","15086","2.43","-1","-1","85.4","15.4","-1","-1","-1","-1","38506","-1","-1","-1","-1","-1","-1","-1","-1","-1","62.5","826.8"
"Bradley County","AR","-3.1","11148","11508","6.9","23.4","18.3","51.1","68.3","27.6","1.9","0.5","0","1.6","14.3","56.3","765","6.7","5820","68.8","62900","4789","2.32","-1","-1","76","10.8","-1","-1","-1","-1","30409","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.7","585.23"
"Calhoun County","AR","-3.1","5202","5368","5","18.1","19.8","49.2","75.7","22","0.5","0.2","0","1.6","3.9","72.3","391","0","2886","80","58300","2046","2.55","-1","-1","80.5","7.4","-1","-1","-1","-1","30980","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.5","341.94"
"Carroll County","AR","1.1","27744","27446","5.5","22.1","21.1","50.7","94.5","0.8","1.3","0.9","0.6","2","14.6","81.1","2961","6.8","13568","73.2","120000","11019","2.47","-1","-1","84.6","17.3","-1","-1","-1","-1","36584","-1","-1","-1","-1","-1","-1","-1","-1","-1","43.6","3068.36"
"Chicot County","AR","-5.3","11180","11800","6.7","23.2","19.2","50.8","43.5","54.6","0.5","0.5","0","0.9","5.6","39.2","905","3.3","5403","66.3","54700","4510","2.41","-1","-1","74.2","12.6","-1","-1","-1","-1","26201","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.3","1589.78"
"Clark County","AR","-1.8","22576","22995","4.9","19.2","16.1","52.1","73.4","24","0.6","0.7","0","1.4","4.4","69.6","1804","2.6","10435","63.5","86600","8341","2.41","-1","-1","86.2","21.4","-1","-1","-1","-1","32721","-1","-1","-1","-1","-1","-1","-1","-1","-1","26.6","257.84"
"Clay County","AR","-6","15118","16083","4.3","20.4","21.4","51.1","97.4","0.6","0.4","0.2","0","1.3","1.8","95.7","1230","0.9","8037","72.6","62400","6814","2.3","-1","-1","76.1","9.5","-1","-1","-1","-1","31502","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.2","246.66"
"Cleburne County","AR","-1.3","25634","25970","4.8","19.8","25.4","50.7","97","0.5","0.7","0.3","0","1.4","2.6","94.8","3158","2","15849","76.9","117900","10286","2.47","-1","-1","84.5","16.8","-1","-1","-1","-1","40246","-1","-1","-1","-1","-1","-1","-1","-1","-1","46.9","598.3"
"Cleveland County","AR","-2.8","8449","8689","5.1","23.4","19.1","51.1","86.6","11.4","0.5","0.1","0","1.3","2.2","84.7","630","0.4","4048","77.5","78300","3346","2.56","-1","-1","84.8","13.8","-1","-1","-1","-1","39420","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.5","80.94"
"Columbia County","AR","-2.5","23933","24552","5.8","21.6","16.6","52","61.1","36.2","0.5","0.9","0","1.3","2.7","59.4","1508","2.9","11562","68.9","78900","9449","2.43","-1","-1","85.4","20.3","-1","-1","-1","-1","35128","-1","-1","-1","-1","-1","-1","-1","-1","-1","32.1","790.96"
"Conway County","AR","-0.9","21083","21273","5.9","23.1","18.3","50.9","85","11.4","0.8","0.6","0","2.1","4","81.5","1534","1.9","9720","74","86100","8154","2.57","-1","-1","84.5","14.7","-1","-1","-1","-1","35225","-1","-1","-1","-1","-1","-1","-1","-1","-1","38.5","232.09"
"Craighead County","AR","6.3","102518","96443","6.9","24.9","13","51.3","82.2","14.5","0.6","1.1","0.1","1.6","4.7","78","6727","3.7","43311","58.3","120700","37834","2.51","-1","-1","84.9","24.4","-1","-1","-1","-1","41393","-1","-1","-1","-1","-1","-1","-1","-1","-1","136.4","746.11"
"Crawford County","AR","-0.4","61697","61948","6","25.1","15.3","50.7","91.5","1.6","2.5","1.6","0.1","2.8","6.7","85.6","5321","4.1","26458","74.3","102800","23368","2.62","-1","-1","82.2","14.3","-1","-1","-1","-1","39479","-1","-1","-1","-1","-1","-1","-1","-1","-1","104.4","1111.99"
"Crittenden County","AR","-2.7","49548","50902","7.7","27.9","12.1","52.6","45.9","51.8","0.4","0.7","0","1.2","2.3","44.1","3541","1.7","21624","56.3","99500","18309","2.72","-1","-1","79.1","13.9","-1","-1","-1","-1","37751","-1","-1","-1","-1","-1","-1","-1","-1","-1","83.5","898.26"
"Cross County","AR","-3.6","17227","17870","6.9","24","17.6","51.4","74.9","22.9","0.3","0.5","0","1.3","1.9","73.3","1189","0.7","7888","65.4","78400","6818","2.57","-1","-1","79","11.4","-1","-1","-1","-1","38085","-1","-1","-1","-1","-1","-1","-1","-1","-1","29","1134.07"
"Dallas County","AR","-4.4","7755","8116","5.5","22.3","20.5","51.7","56.4","41.3","0.5","0.2","0","1.5","2.7","54.1","444","2.5","4289","66.4","59200","3269","2.32","-1","-1","82.1","10.2","-1","-1","-1","-1","28931","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.2","884.88"
"Desha County","AR","-5.7","12264","13008","6.8","25.6","17.1","53.2","50.1","47.9","0.4","0.4","0.1","1","4.8","46.6","754","1.8","6306","55.9","55100","5305","2.39","-1","-1","76.9","12.7","-1","-1","-1","-1","28680","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.9","393.72"
"Drew County","AR","0.6","18622","18509","6.3","22.4","16.1","51.2","69.6","28","0.4","0.9","0","1.1","2.9","67","983","1.9","8481","61.2","83300","7496","2.37","-1","-1","81.3","19.1","-1","-1","-1","-1","31171","-1","-1","-1","-1","-1","-1","-1","-1","-1","22.3","487.54"
"Faulkner County","AR","6.7","120768","113237","6.6","23.9","11.2","51.1","84.6","11.3","0.7","1.2","0.1","2","4.1","81.1","8027","2.9","48849","65.2","137800","42413","2.62","-1","-1","89.4","27.2","-1","-1","-1","-1","50314","-1","-1","-1","-1","-1","-1","-1","-1","-1","174.8","862.71"
"Franklin County","AR","-1.8","17805","18125","5.9","23.6","18","50.5","95.2","0.9","1.3","0.9","0.1","1.6","3","92.5","1643","0.8","8024","74","93000","6769","2.61","-1","-1","82.1","12.4","-1","-1","-1","-1","36766","-1","-1","-1","-1","-1","-1","-1","-1","-1","29.8","160.31"
"Fulton County","AR","-1","12125","12245","4.8","20.4","25.4","50.5","96.8","0.6","0.7","0.3","0","1.6","1.2","95.8","1358","1.1","6762","78.1","88200","5140","2.35","-1","-1","83.7","10","-1","-1","-1","-1","35522","-1","-1","-1","-1","-1","-1","-1","-1","-1","19.8","553.09"
"Garland County","AR","1.4","97322","96024","5.7","20.9","21.7","51.7","87.7","8.5","0.7","0.8","0.1","2.3","5.3","82.9","10575","3.6","50542","68.6","130500","39881","2.37","-1","-1","86.8","20.9","-1","-1","-1","-1","39162","-1","-1","-1","-1","-1","-1","-1","-1","-1","141.7","778.25"
"Grant County","AR","1.6","18144","17853","5.7","23.5","16.1","50.3","94.8","2.8","0.5","0.4","0","1.4","2.6","92.7","1594","1.9","7837","77.8","100800","6855","2.59","-1","-1","84.9","17.6","-1","-1","-1","-1","49004","-1","-1","-1","-1","-1","-1","-1","-1","-1","28.3","406.91"
"Greene County","AR","3.8","43694","42090","6.6","24.6","15","50.8","96.9","0.9","0.5","0.3","0","1.4","2.7","94.5","3801","1.1","18439","63.3","99100","16603","2.53","-1","-1","82.8","14.7","-1","-1","-1","-1","38413","-1","-1","-1","-1","-1","-1","-1","-1","-1","72.9","895.4"
"Hempstead County","AR","-1.2","22327","22609","7.3","26.4","16.3","51.6","66.8","29.9","0.7","0.5","0.1","1.9","12.6","55.3","1556","5.7","10423","68","73100","8296","2.67","-1","-1","81.7","14.1","-1","-1","-1","-1","32056","-1","-1","-1","-1","-1","-1","-1","-1","-1","31.1","591.92"
"Hot Spring County","AR","1.4","33368","32923","5.3","21.6","17.2","48.1","85.6","11.6","0.6","0.4","0.1","1.8","3.3","82.7","3202","0.9","14283","72.5","81300","12231","2.58","-1","-1","83.4","12.3","-1","-1","-1","-1","41193","-1","-1","-1","-1","-1","-1","-1","-1","-1","53.5","459.54"
"Howard County","AR","-2.1","13500","13789","6.9","26.1","16.9","51.3","75.8","20.9","1","0.7","0.1","1.4","11","65.7","875","6.2","6236","63.3","74500","5208","2.6","-1","-1","76","12","-1","-1","-1","-1","35879","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.4","888.15"
"Independence County","AR","0.9","36959","36647","6.4","24","17","51.3","94.5","2.3","0.7","0.8","0.2","1.5","5.9","89.3","2826","3.6","16260","70.6","88900","14544","2.46","-1","-1","82.5","14.4","-1","-1","-1","-1","35026","-1","-1","-1","-1","-1","-1","-1","-1","-1","48","836.69"
"Izard County","AR","-1.5","13486","13696","4.5","18.2","25","47.6","95.4","1.8","1.1","0.3","0","1.4","1.9","93.8","1605","2.3","7214","78","73900","5682","2.26","-1","-1","79.8","11.7","-1","-1","-1","-1","30661","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.6","278.79"
"Jackson County","AR","-2.6","17534","17997","5.6","20.4","16.7","50.3","79.6","17.6","0.7","0.4","0.1","1.6","2.9","77.1","1352","0.8","7589","67.2","56500","6541","2.28","-1","-1","75.6","8.8","-1","-1","-1","-1","30284","-1","-1","-1","-1","-1","-1","-1","-1","-1","28.4","529.16"
"Jefferson County","AR","-6.6","72297","77435","6.2","23.3","15.1","50.8","41.7","55.5","0.4","0.9","0.1","1.3","1.9","40.3","5858","1.4","33242","64.5","81100","28367","2.47","-1","-1","83","17.5","-1","-1","-1","-1","37140","-1","-1","-1","-1","-1","-1","-1","-1","-1","88.9","554.28"
"Johnson County","AR","1.8","26005","25540","7.1","24.8","15.8","50.3","93.4","2.1","1.2","1.2","0.1","1.9","13.5","81.1","1887","6.3","11351","66.2","88700","10046","2.49","-1","-1","79.7","14.7","-1","-1","-1","-1","31003","-1","-1","-1","-1","-1","-1","-1","-1","-1","38.7","758.46"
"Lafayette County","AR","-7","7111","7645","4.7","20.2","21.5","51.7","61.1","37.1","0.4","0.5","0","1","2","59.7","534","0.7","4342","72.7","52200","2722","2.7","-1","-1","77.5","10.7","-1","-1","-1","-1","29732","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.5","442.3"
"Lawrence County","AR","-2.8","16931","17415","5.6","22.6","19.3","50.5","97.1","1","0.5","0.2","0","1.2","1.3","96","1443","0.6","7979","70.7","59800","6580","2.52","-1","-1","77.4","10.4","-1","-1","-1","-1","32239","-1","-1","-1","-1","-1","-1","-1","-1","-1","29.6","1477.86"
"Lee County","AR","-5.4","9860","10424","5.4","19.6","16.7","44","43.1","54.2","0.6","0.5","0","1.6","2.7","41","485","0.8","4364","57","54700","3491","2.54","-1","-1","70.1","7.1","-1","-1","-1","-1","25034","-1","-1","-1","-1","-1","-1","-1","-1","-1","17.3","867.48"
"Lincoln County","AR","-1.2","13970","14134","4.4","17.8","13.5","38.9","67.7","30.3","0.4","0.3","0","1.2","3.6","64.8","901","1.5","4858","69.7","59300","4188","2.53","-1","-1","73.5","7.9","-1","-1","-1","-1","32697","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.2","974.79"
"Little River County","AR","-4.8","12532","13171","5.3","22.2","19.5","50.9","75.7","19.7","1.9","0.4","0","2.2","3.1","73.3","1218","1.4","6446","78","80900","5315","2.41","-1","-1","83.4","10.6","-1","-1","-1","-1","39673","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.7","1157.34"
"Logan County","AR","-1.8","21958","22353","5.6","22.4","19.2","50.2","93.7","1.5","1.2","1.9","0","1.7","2.7","91.4","2058","1.2","10125","75.4","81100","8233","2.63","-1","-1","81.3","11.7","-1","-1","-1","-1","34996","-1","-1","-1","-1","-1","-1","-1","-1","-1","31.6","1814.67"
"Lonoke County","AR","4.7","71557","68356","6.7","26.4","12.6","50.5","90.4","6.2","0.7","0.9","0.1","1.8","4","86.8","7426","2.1","28618","73.2","120600","25052","2.74","-1","-1","86.7","18.2","-1","-1","-1","-1","52582","-1","-1","-1","-1","-1","-1","-1","-1","-1","88.7","434.71"
"Madison County","AR","0.1","15740","15717","6.2","23.5","17.5","49.9","95.2","0.4","1.7","0.8","0.4","1.6","5.4","90.4","1279","2.3","7485","76.5","92800","6048","2.58","-1","-1","76.6","10.3","-1","-1","-1","-1","35771","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.8","2589.88"
"Marion County","AR","-1.7","16367","16653","4.4","17.3","26.8","50.3","96.5","0.4","0.9","0.3","0.1","1.8","2.3","94.6","2267","2.4","9333","79.5","92700","7036","2.34","-1","-1","83.6","12.9","-1","-1","-1","-1","34494","-1","-1","-1","-1","-1","-1","-1","-1","-1","27.9","5541.62"
"Miller County","AR","-0.1","43428","43462","7","24.1","15.2","50.8","71.7","25.1","0.8","0.6","0.1","1.8","3.1","69.3","3406","0.9","19415","67.2","92900","16950","2.49","-1","-1","85.1","13.9","-1","-1","-1","-1","41319","-1","-1","-1","-1","-1","-1","-1","-1","-1","69.5","1315.2"
"Mississippi County","AR","-4.8","44235","46480","7","26.7","13.4","51.3","62.8","34.9","0.5","0.5","0","1.3","4","59.4","3002","1.8","20506","58.8","75300","17058","2.64","-1","-1","77.8","13","-1","-1","-1","-1","36428","-1","-1","-1","-1","-1","-1","-1","-1","-1","51.6","901.81"
"Monroe County","AR","-7","7582","8149","5.8","21.2","20.3","52.5","56.7","40.3","0.7","0.6","0","1.7","2.2","55.1","629","0.8","4432","63.5","52200","3393","2.33","-1","-1","75.3","11.3","-1","-1","-1","-1","27263","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.4","1012.3"
"Montgomery County","AR","-4.3","9082","9487","4.3","19.2","25.4","50.1","95.1","0.6","1.3","0.7","0","2.3","3.6","92.3","1139","1.7","5747","79.8","76400","3873","2.39","-1","-1","82.3","12.9","-1","-1","-1","-1","31345","-1","-1","-1","-1","-1","-1","-1","-1","-1","12.2","473.64"
"Nevada County","AR","-3","8723","8997","6.4","22.7","19.4","50.6","67.1","30.5","0.5","0.4","0.1","1.6","3.3","64.1","762","1","4542","73.1","64600","3622","2.41","-1","-1","82.1","12.8","-1","-1","-1","-1","33694","-1","-1","-1","-1","-1","-1","-1","-1","-1","14.6","753.02"
"Newton County","AR","-5.1","7904","8330","4.8","19.5","24.3","49.5","95.5","0.3","1.5","0.3","0","2.4","1.8","94","838","0.8","4667","82.5","74600","3507","2.32","-1","-1","79.8","12.7","-1","-1","-1","-1","30038","-1","-1","-1","-1","-1","-1","-1","-1","-1","10.1","880.24"
"Ouachita County","AR","-5","24828","26120","6.2","23","18.3","52.6","57","40.3","0.4","0.5","0.1","1.8","2.2","55.4","2039","1","13067","66.3","70000","10733","2.36","-1","-1","84.7","15.5","-1","-1","-1","-1","32015","-1","-1","-1","-1","-1","-1","-1","-1","-1","35.6","359"
"Perry County","AR","-1.9","10245","10445","5.2","22.1","17.9","50.3","94.8","2.2","0.8","0.2","0","2","2.8","92.4","1002","0.8","4900","79.5","77700","3903","2.61","-1","-1","84.6","11.9","-1","-1","-1","-1","42455","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.9","1051.02"
"Phillips County","AR","-8.4","19930","21757","8","27.2","16.3","53","36.5","61.6","0.4","0.4","0","1.2","1.7","35.6","1271","0.6","10163","54.5","59500","8339","2.52","-1","-1","72.8","12","-1","-1","-1","-1","26737","-1","-1","-1","-1","-1","-1","-1","-1","-1","31.3","532.13"
"Pike County","AR","-2.4","11024","11291","5.8","22.8","18.6","50.2","93.3","3.5","1.1","0.7","0","1.5","6.6","87.6","862","3.7","5569","73.1","75200","4325","2.55","-1","-1","80.1","13.8","-1","-1","-1","-1","32206","-1","-1","-1","-1","-1","-1","-1","-1","-1","18.8","2504.94"
"Poinsett County","AR","-1.4","24246","24583","6.4","23.7","17.1","51.4","89.8","8","0.3","0.3","0","1.6","2.7","87.5","1835","1.3","10937","62.5","71300","9369","2.56","-1","-1","73.3","8.6","-1","-1","-1","-1","32089","-1","-1","-1","-1","-1","-1","-1","-1","-1","32.4","250.12"
"Polk County","AR","-2.1","20225","20662","5.9","23.4","21.7","50.8","94.5","0.5","2","0.6","0","2.4","6.4","88.6","2163","2.8","10034","77","82700","8069","2.53","-1","-1","85.1","12.3","-1","-1","-1","-1","32835","-1","-1","-1","-1","-1","-1","-1","-1","-1","24.1","776.62"
"Pope County","AR","2.3","63201","61754","6.2","22.8","14.4","50.1","92.4","3.2","1","1.2","0.1","2.1","8.4","84.8","4459","3.5","25915","69.8","110200","22603","2.63","-1","-1","81.9","20.7","-1","-1","-1","-1","40453","-1","-1","-1","-1","-1","-1","-1","-1","-1","76","674.98"
"Prairie County","AR","-4.7","8304","8715","5","20.2","22","50.6","86.7","11.7","0.4","0.1","0","1","1.2","85.7","824","0.3","4493","72.9","72400","3737","2.26","-1","-1","78.6","9.3","-1","-1","-1","-1","34855","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.4","1512.86"
