"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Sumter County","AL","16.3","19.7","4.8","14.9","75.5","-1","0.1","0.4","73.5","1.1","0","0.5","25.5","24.8","64.7","5060","6748","74100","2.57","22186","-1","0.9","339.38","-1","-1","-1","-1","55","706","13166","13763","15.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Talladega County","AL","16.1","22.3","5.5","13","78.9","-1","0.4","0.4","32.5","2.3","0","1.5","65.2","63.4","71.2","31486","37177","92600","2.5","35439","-1","1.6","975.52","-1","-1","-1","-1","51.4","6691","81322","82291","111.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tallapoosa County","AL","19.6","21.1","5.8","16.3","79.2","-1","0.4","0.5","27.3","2.3","0","1.2","70.6","68.9","72.2","16373","22029","94900","2.49","39130","-1","1.9","734.98","-1","-1","-1","-1","51.4","3631","41165","41616","58.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Tuscaloosa County","AL","11.7","21.1","6","27","86.6","-1","0.3","1.5","31","3.3","0.1","1.1","66","63.2","64.4","67882","87795","153300","2.76","45408","-1","3.5","692.24","-1","-1","-1","-1","51.7","12198","202212","194656","147.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Walker County","AL","18.2","22.1","5.8","10.5","76.4","-1","0.5","0.4","6.4","2.3","0.1","1.3","91.3","89.4","75","25751","30669","82100","2.55","37566","-1","1.2","442.96","-1","-1","-1","-1","51.4","5353","65471","67023","84.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Washington County","AL","17","22.5","4.9","9.5","80.5","-1","7.9","0.1","24.6","1.4","0.1","1.3","66","65.1","86.5","6620","8377","83900","2.59","42156","-1","0.9","401.39","-1","-1","-1","-1","51.2","1025","16834","17581","16.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Wilcox County","AL","17.7","24.8","5.7","11.1","76.1","-1","0.2","0.1","71","1","0","0.6","28.1","27.6","74.5","3866","5615","67000","2.9","23642","-1","0.1","967","-1","-1","-1","-1","52.4","462","11098","11670","13.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Winston County","AL","20","20.9","5","10.4","72.7","-1","0.9","0.3","1","2.9","0.2","1.4","96.3","94","74.9","9489","13406","82500","2.52","32900","-1","1.1","646.51","-1","-1","-1","-1","50.9","1721","24150","24484","39.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Arkansas County","AR","17.5","23","6.8","12.4","84.1","-1","0.4","1","24.5","3","0","1.5","72.6","70.2","67.5","7883","9441","75500","2.36","39633","-1","2.2","594.44","-1","-1","-1","-1","51.6","1389","18594","19019","19.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ashley County","AR","18.4","23.6","6.5","12.2","84.2","-1","0.8","0.3","25.6","5.2","0.1","1.4","71.9","67.7","75.6","8656","10106","62500","2.47","35683","-1","2.1","832.43","-1","-1","-1","-1","51.8","1370","20948","21853","23.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Baxter County","AR","30","17.8","4.4","16.5","87.6","-1","0.7","0.6","0.4","2","0","1.5","96.8","95.2","76.5","18155","22633","120000","2.24","35343","-1","1.9","2554.97","-1","-1","-1","-1","51.8","5725","40857","41513","74.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Benton County","AR","13","27","7.2","28.7","85.8","-1","1.9","3.4","1.9","16.2","0.4","2.3","90","74.9","68.6","82150","97542","147500","2.74","54515","-1","10.9","258.58","-1","-1","-1","-1","50.5","16452","242321","221339","261.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Boone County","AR","19.8","22.6","6","15.4","85.4","-1","0.8","0.6","0.4","2.3","0.1","1.8","96.3","94.3","72.6","15086","16904","106400","2.43","38506","-1","1.3","826.8","-1","-1","-1","-1","50.8","3280","37196","36903","62.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Bradley County","AR","18.3","23.4","6.9","10.8","76","-1","1.9","0.5","27.6","14.3","0","1.6","68.3","56.3","68.8","4789","5820","62900","2.32","30409","-1","6.7","585.23","-1","-1","-1","-1","51.1","765","11148","11508","17.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Calhoun County","AR","19.8","18.1","5","7.4","80.5","-1","0.5","0.2","22","3.9","0","1.6","75.7","72.3","80","2046","2886","58300","2.55","30980","-1","0","341.94","-1","-1","-1","-1","49.2","391","5202","5368","8.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Carroll County","AR","21.1","22.1","5.5","17.3","84.6","-1","1.3","0.9","0.8","14.6","0.6","2","94.5","81.1","73.2","11019","13568","120000","2.47","36584","-1","6.8","3068.36","-1","-1","-1","-1","50.7","2961","27744","27446","43.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Chicot County","AR","19.2","23.2","6.7","12.6","74.2","-1","0.5","0.5","54.6","5.6","0","0.9","43.5","39.2","66.3","4510","5403","54700","2.41","26201","-1","3.3","1589.78","-1","-1","-1","-1","50.8","905","11180","11800","18.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clark County","AR","16.1","19.2","4.9","21.4","86.2","-1","0.6","0.7","24","4.4","0","1.4","73.4","69.6","63.5","8341","10435","86600","2.41","32721","-1","2.6","257.84","-1","-1","-1","-1","52.1","1804","22576","22995","26.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Clay County","AR","21.4","20.4","4.3","9.5","76.1","-1","0.4","0.2","0.6","1.8","0","1.3","97.4","95.7","72.6","6814","8037","62400","2.3","31502","-1","0.9","246.66","-1","-1","-1","-1","51.1","1230","15118","16083","25.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cleburne County","AR","25.4","19.8","4.8","16.8","84.5","-1","0.7","0.3","0.5","2.6","0","1.4","97","94.8","76.9","10286","15849","117900","2.47","40246","-1","2","598.3","-1","-1","-1","-1","50.7","3158","25634","25970","46.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cleveland County","AR","19.1","23.4","5.1","13.8","84.8","-1","0.5","0.1","11.4","2.2","0","1.3","86.6","84.7","77.5","3346","4048","78300","2.56","39420","-1","0.4","80.94","-1","-1","-1","-1","51.1","630","8449","8689","14.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Columbia County","AR","16.6","21.6","5.8","20.3","85.4","-1","0.5","0.9","36.2","2.7","0","1.3","61.1","59.4","68.9","9449","11562","78900","2.43","35128","-1","2.9","790.96","-1","-1","-1","-1","52","1508","23933","24552","32.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Conway County","AR","18.3","23.1","5.9","14.7","84.5","-1","0.8","0.6","11.4","4","0","2.1","85","81.5","74","8154","9720","86100","2.57","35225","-1","1.9","232.09","-1","-1","-1","-1","50.9","1534","21083","21273","38.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Craighead County","AR","13","24.9","6.9","24.4","84.9","-1","0.6","1.1","14.5","4.7","0.1","1.6","82.2","78","58.3","37834","43311","120700","2.51","41393","-1","3.7","746.11","-1","-1","-1","-1","51.3","6727","102518","96443","136.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Crawford County","AR","15.3","25.1","6","14.3","82.2","-1","2.5","1.6","1.6","6.7","0.1","2.8","91.5","85.6","74.3","23368","26458","102800","2.62","39479","-1","4.1","1111.99","-1","-1","-1","-1","50.7","5321","61697","61948","104.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Crittenden County","AR","12.1","27.9","7.7","13.9","79.1","-1","0.4","0.7","51.8","2.3","0","1.2","45.9","44.1","56.3","18309","21624","99500","2.72","37751","-1","1.7","898.26","-1","-1","-1","-1","52.6","3541","49548","50902","83.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Cross County","AR","17.6","24","6.9","11.4","79","-1","0.3","0.5","22.9","1.9","0","1.3","74.9","73.3","65.4","6818","7888","78400","2.57","38085","-1","0.7","1134.07","-1","-1","-1","-1","51.4","1189","17227","17870","29","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Dallas County","AR","20.5","22.3","5.5","10.2","82.1","-1","0.5","0.2","41.3","2.7","0","1.5","56.4","54.1","66.4","3269","4289","59200","2.32","28931","-1","2.5","884.88","-1","-1","-1","-1","51.7","444","7755","8116","12.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Desha County","AR","17.1","25.6","6.8","12.7","76.9","-1","0.4","0.4","47.9","4.8","0.1","1","50.1","46.6","55.9","5305","6306","55100","2.39","28680","-1","1.8","393.72","-1","-1","-1","-1","53.2","754","12264","13008","16.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Drew County","AR","16.1","22.4","6.3","19.1","81.3","-1","0.4","0.9","28","2.9","0","1.1","69.6","67","61.2","7496","8481","83300","2.37","31171","-1","1.9","487.54","-1","-1","-1","-1","51.2","983","18622","18509","22.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Faulkner County","AR","11.2","23.9","6.6","27.2","89.4","-1","0.7","1.2","11.3","4.1","0.1","2","84.6","81.1","65.2","42413","48849","137800","2.62","50314","-1","2.9","862.71","-1","-1","-1","-1","51.1","8027","120768","113237","174.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Franklin County","AR","18","23.6","5.9","12.4","82.1","-1","1.3","0.9","0.9","3","0.1","1.6","95.2","92.5","74","6769","8024","93000","2.61","36766","-1","0.8","160.31","-1","-1","-1","-1","50.5","1643","17805","18125","29.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Fulton County","AR","25.4","20.4","4.8","10","83.7","-1","0.7","0.3","0.6","1.2","0","1.6","96.8","95.8","78.1","5140","6762","88200","2.35","35522","-1","1.1","553.09","-1","-1","-1","-1","50.5","1358","12125","12245","19.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Garland County","AR","21.7","20.9","5.7","20.9","86.8","-1","0.7","0.8","8.5","5.3","0.1","2.3","87.7","82.9","68.6","39881","50542","130500","2.37","39162","-1","3.6","778.25","-1","-1","-1","-1","51.7","10575","97322","96024","141.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Grant County","AR","16.1","23.5","5.7","17.6","84.9","-1","0.5","0.4","2.8","2.6","0","1.4","94.8","92.7","77.8","6855","7837","100800","2.59","49004","-1","1.9","406.91","-1","-1","-1","-1","50.3","1594","18144","17853","28.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Greene County","AR","15","24.6","6.6","14.7","82.8","-1","0.5","0.3","0.9","2.7","0","1.4","96.9","94.5","63.3","16603","18439","99100","2.53","38413","-1","1.1","895.4","-1","-1","-1","-1","50.8","3801","43694","42090","72.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hempstead County","AR","16.3","26.4","7.3","14.1","81.7","-1","0.7","0.5","29.9","12.6","0.1","1.9","66.8","55.3","68","8296","10423","73100","2.67","32056","-1","5.7","591.92","-1","-1","-1","-1","51.6","1556","22327","22609","31.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Hot Spring County","AR","17.2","21.6","5.3","12.3","83.4","-1","0.6","0.4","11.6","3.3","0.1","1.8","85.6","82.7","72.5","12231","14283","81300","2.58","41193","-1","0.9","459.54","-1","-1","-1","-1","48.1","3202","33368","32923","53.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Howard County","AR","16.9","26.1","6.9","12","76","-1","1","0.7","20.9","11","0.1","1.4","75.8","65.7","63.3","5208","6236","74500","2.6","35879","-1","6.2","888.15","-1","-1","-1","-1","51.3","875","13500","13789","23.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Independence County","AR","17","24","6.4","14.4","82.5","-1","0.7","0.8","2.3","5.9","0.2","1.5","94.5","89.3","70.6","14544","16260","88900","2.46","35026","-1","3.6","836.69","-1","-1","-1","-1","51.3","2826","36959","36647","48","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Izard County","AR","25","18.2","4.5","11.7","79.8","-1","1.1","0.3","1.8","1.9","0","1.4","95.4","93.8","78","5682","7214","73900","2.26","30661","-1","2.3","278.79","-1","-1","-1","-1","47.6","1605","13486","13696","23.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jackson County","AR","16.7","20.4","5.6","8.8","75.6","-1","0.7","0.4","17.6","2.9","0.1","1.6","79.6","77.1","67.2","6541","7589","56500","2.28","30284","-1","0.8","529.16","-1","-1","-1","-1","50.3","1352","17534","17997","28.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Jefferson County","AR","15.1","23.3","6.2","17.5","83","-1","0.4","0.9","55.5","1.9","0.1","1.3","41.7","40.3","64.5","28367","33242","81100","2.47","37140","-1","1.4","554.28","-1","-1","-1","-1","50.8","5858","72297","77435","88.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Johnson County","AR","15.8","24.8","7.1","14.7","79.7","-1","1.2","1.2","2.1","13.5","0.1","1.9","93.4","81.1","66.2","10046","11351","88700","2.49","31003","-1","6.3","758.46","-1","-1","-1","-1","50.3","1887","26005","25540","38.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lafayette County","AR","21.5","20.2","4.7","10.7","77.5","-1","0.4","0.5","37.1","2","0","1","61.1","59.7","72.7","2722","4342","52200","2.7","29732","-1","0.7","442.3","-1","-1","-1","-1","51.7","534","7111","7645","14.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lawrence County","AR","19.3","22.6","5.6","10.4","77.4","-1","0.5","0.2","1","1.3","0","1.2","97.1","96","70.7","6580","7979","59800","2.52","32239","-1","0.6","1477.86","-1","-1","-1","-1","50.5","1443","16931","17415","29.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lee County","AR","16.7","19.6","5.4","7.1","70.1","-1","0.6","0.5","54.2","2.7","0","1.6","43.1","41","57","3491","4364","54700","2.54","25034","-1","0.8","867.48","-1","-1","-1","-1","44","485","9860","10424","17.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lincoln County","AR","13.5","17.8","4.4","7.9","73.5","-1","0.4","0.3","30.3","3.6","0","1.2","67.7","64.8","69.7","4188","4858","59300","2.53","32697","-1","1.5","974.79","-1","-1","-1","-1","38.9","901","13970","14134","25.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Little River County","AR","19.5","22.2","5.3","10.6","83.4","-1","1.9","0.4","19.7","3.1","0","2.2","75.7","73.3","78","5315","6446","80900","2.41","39673","-1","1.4","1157.34","-1","-1","-1","-1","50.9","1218","12532","13171","24.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Logan County","AR","19.2","22.4","5.6","11.7","81.3","-1","1.2","1.9","1.5","2.7","0","1.7","93.7","91.4","75.4","8233","10125","81100","2.63","34996","-1","1.2","1814.67","-1","-1","-1","-1","50.2","2058","21958","22353","31.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Lonoke County","AR","12.6","26.4","6.7","18.2","86.7","-1","0.7","0.9","6.2","4","0.1","1.8","90.4","86.8","73.2","25052","28618","120600","2.74","52582","-1","2.1","434.71","-1","-1","-1","-1","50.5","7426","71557","68356","88.7","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Madison County","AR","17.5","23.5","6.2","10.3","76.6","-1","1.7","0.8","0.4","5.4","0.4","1.6","95.2","90.4","76.5","6048","7485","92800","2.58","35771","-1","2.3","2589.88","-1","-1","-1","-1","49.9","1279","15740","15717","18.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Marion County","AR","26.8","17.3","4.4","12.9","83.6","-1","0.9","0.3","0.4","2.3","0.1","1.8","96.5","94.6","79.5","7036","9333","92700","2.34","34494","-1","2.4","5541.62","-1","-1","-1","-1","50.3","2267","16367","16653","27.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Miller County","AR","15.2","24.1","7","13.9","85.1","-1","0.8","0.6","25.1","3.1","0.1","1.8","71.7","69.3","67.2","16950","19415","92900","2.49","41319","-1","0.9","1315.2","-1","-1","-1","-1","50.8","3406","43428","43462","69.5","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Mississippi County","AR","13.4","26.7","7","13","77.8","-1","0.5","0.5","34.9","4","0","1.3","62.8","59.4","58.8","17058","20506","75300","2.64","36428","-1","1.8","901.81","-1","-1","-1","-1","51.3","3002","44235","46480","51.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Monroe County","AR","20.3","21.2","5.8","11.3","75.3","-1","0.7","0.6","40.3","2.2","0","1.7","56.7","55.1","63.5","3393","4432","52200","2.33","27263","-1","0.8","1012.3","-1","-1","-1","-1","52.5","629","7582","8149","13.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Montgomery County","AR","25.4","19.2","4.3","12.9","82.3","-1","1.3","0.7","0.6","3.6","0","2.3","95.1","92.3","79.8","3873","5747","76400","2.39","31345","-1","1.7","473.64","-1","-1","-1","-1","50.1","1139","9082","9487","12.2","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Nevada County","AR","19.4","22.7","6.4","12.8","82.1","-1","0.5","0.4","30.5","3.3","0.1","1.6","67.1","64.1","73.1","3622","4542","64600","2.41","33694","-1","1","753.02","-1","-1","-1","-1","50.6","762","8723","8997","14.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Newton County","AR","24.3","19.5","4.8","12.7","79.8","-1","1.5","0.3","0.3","1.8","0","2.4","95.5","94","82.5","3507","4667","74600","2.32","30038","-1","0.8","880.24","-1","-1","-1","-1","49.5","838","7904","8330","10.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Ouachita County","AR","18.3","23","6.2","15.5","84.7","-1","0.4","0.5","40.3","2.2","0.1","1.8","57","55.4","66.3","10733","13067","70000","2.36","32015","-1","1","359","-1","-1","-1","-1","52.6","2039","24828","26120","35.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Perry County","AR","17.9","22.1","5.2","11.9","84.6","-1","0.8","0.2","2.2","2.8","0","2","94.8","92.4","79.5","3903","4900","77700","2.61","42455","-1","0.8","1051.02","-1","-1","-1","-1","50.3","1002","10245","10445","18.9","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Phillips County","AR","16.3","27.2","8","12","72.8","-1","0.4","0.4","61.6","1.7","0","1.2","36.5","35.6","54.5","8339","10163","59500","2.52","26737","-1","0.6","532.13","-1","-1","-1","-1","53","1271","19930","21757","31.3","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pike County","AR","18.6","22.8","5.8","13.8","80.1","-1","1.1","0.7","3.5","6.6","0","1.5","93.3","87.6","73.1","4325","5569","75200","2.55","32206","-1","3.7","2504.94","-1","-1","-1","-1","50.2","862","11024","11291","18.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Poinsett County","AR","17.1","23.7","6.4","8.6","73.3","-1","0.3","0.3","8","2.7","0","1.6","89.8","87.5","62.5","9369","10937","71300","2.56","32089","-1","1.3","250.12","-1","-1","-1","-1","51.4","1835","24246","24583","32.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Polk County","AR","21.7","23.4","5.9","12.3","85.1","-1","2","0.6","0.5","6.4","0","2.4","94.5","88.6","77","8069","10034","82700","2.53","32835","-1","2.8","776.62","-1","-1","-1","-1","50.8","2163","20225","20662","24.1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pope County","AR","14.4","22.8","6.2","20.7","81.9","-1","1","1.2","3.2","8.4","0.1","2.1","92.4","84.8","69.8","22603","25915","110200","2.63","40453","-1","3.5","674.98","-1","-1","-1","-1","50.1","4459","63201","61754","76","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Prairie County","AR","22","20.2","5","9.3","78.6","-1","0.4","0.1","11.7","1.2","0","1","86.7","85.7","72.9","3737","4493","72400","2.26","34855","-1","0.3","1512.86","-1","-1","-1","-1","50.6","824","8304","8715","13.4","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Pulaski County","AR","13.5","23.7","7","31.2","89.2","-1","0.5","2.2","36","6","0.1","2","59.2","54","60.4","153720","181406","140500","2.47","46013","-1","5.2","847.36","-1","-1","-1","-1","52","31984","392702","382748","503.8","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Randolph County","AR","19.9","22.5","5.7","12.3","80.4","-1","0.5","0.4","0.9","1.9","0","1.3","96.8","95.2","75.3","7244","8522","74100","2.42","34418","-1","0.6","716.27","-1","-1","-1","-1","50.9","1405","17571","17969","27.6","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"Saline County","AR","17.1","23.8","6","23.4","89.2","-1","0.6","1.1","6.6","4.2","0.1","1.4","90.3","86.6","77.7","41287","46701","138600","2.62","55348","-1","2.2","406.42","-1","-1","-1","-1","51","10509","115719","107118","148","-1","-1","-1","-1","-1","-1","-1","-1","-1"
